stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description
0000033366,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01301,利用交通手段（１９）、１５歳以上自宅外就業者・通学者数 （常住地）人口１０万以上の市、従業地・通学地（５Ｄ）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,38970,該当なし,0,
0000033367,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01302,利用交通手段（１９）、１５歳以上自宅外就業者・通学者数 （常住地）人口１０万以上の市、（従通地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,373991,該当なし,0,
0000033370,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01403,利用交通手段（１９）、１５歳以上自宅外就業者・通学者数 （従業地）人口10万以上の市（１３大都市除く）、常住地（５D）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,37259,該当なし,0,
0000033371,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,01404,利用交通手段（１９）、１５歳以上自宅外就業者・通学者数 （従業地）人口10万以上の市（１３大都市除く）、（常住地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,412984,該当なし,0,
0000031735,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01101,従業地・通学地（４Ｂ），利用交通手段（４６），１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,8851,該当なし,0,
0000031736,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01102,常住地（４Ｂ），利用交通手段（４６），１５歳以上自宅外就業者・通学者数 （従業地・通学地）全国・都道府県,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,6777,該当なし,0,
0000031743,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01401,常住地（４Ａ），利用交通手段（４６），１５歳以上自宅外就業者・通学者数 （従業地・通学地）１２大都市,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,3812,該当なし,0,
0000031744,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01402,利用交通手段（４６），１５歳以上自宅外就業者・通学者数 （従業地・通学地）１２大都市，（常住地）都道府県・その他の都道府県・市区町村・その他の市区町村,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,70084,該当なし,0,
0000031763,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,02401,通勤・通学時間（１３），利用交通手段（４６），総数・１５歳以上自宅外就業者数・１５歳以上自宅外通学者数 （常住地）全国・都道府県,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,70033,該当なし,0,
0003063774,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01110,常住地又は従業地・通学地による利用交通手段(31区分)別15歳以上自宅外就業者・通学者数 全国，都道府県,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,17280,該当なし,0,
0003063779,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01410,従業地・通学地による常住市区町村，利用交通手段(31区分)別15歳以上自宅外就業者・通学者数 20大都市,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,135900,該当なし,0,
0003389152,00200521,国勢調査,00200,総務省,平成12年国勢調査 最終報告書日本の人口（平成12年国勢調査の主要結果）,59,常住地による利用交通手段（31区分）別15歳以上自宅外就業者・通学者数－全国（平成12年）,-,200001-200012,2020-05-22,2026-05-29,02,人口・世帯,01,人口,350,該当なし,0,
0003033050,00200521,国勢調査,00200,総務省,平成22年国勢調査 速報集計 抽出速報集計,02300,常住地又は従業地・通学地による利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 全国，都道府県，人口50万以上の市区,-,201010,2011-06-29,2026-05-29,02,人口・世帯,01,人口,16800,該当なし,0,
0003063775,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01120,常住地又は従業地・通学地による利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 全国，都道府県，市区町村,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,393800,該当なし,0,
0003063777,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01301,常住地による従業・通学市区町村，利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 人口10万以上の市,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,395420,該当なし,0,
0003063778,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01302,常住地による従業・通学市区町村，利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 20大都市の区,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,277040,該当なし,0,
0003063780,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01421,従業地・通学地による常住市区町村，利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 人口10万以上の市（20大都市除く）,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,311900,該当なし,0,
